team1,total_goals,total_attempts,total_conceded,goal_inside_the_penalty_area,goal_outside_the_penalty_area,total_assists,on_target_attempts,off_target_attempts,attempts_inside_the_penalty_area,attempts_outside_the_penalty_area,avg_left_channel,avg_left_inside_channel,avg_central_channel,avg_right_inside_channel,avg_right_channel,total_yellow_cards,total_red_cards,total_passes,total_passes_completed,avg_defensive_pressures_applied,final_score
ARGENTINA,15,104,8,14,1,8,48,42,66,38,13.8,6.85,8.3,6.6,16.55,16,0,4375,3841,238.4,Champions
AUSTRALIA,4,25,6,3,0,3,9,10,13,12,9.5,2.0,2.833333333333333,2.8333333333333335,11.666666666666668,7,0,1536,1206,344.16666666666663,Round_of_16
BELGIUM,1,34,2,1,0,1,11,19,23,11,13.5,5.25,5.5,3.5,8.25,5,0,1779,1568,292.5,Group_stage
BRAZIL,8,90,3,8,0,6,41,34,57,33,20.083333333333336,8.083333333333332,8.583333333333334,6.916666666666666,15.916666666666668,6,0,3009,2696,300.25,Quarter_finals
CAMEROON,4,27,4,4,0,4,14,8,20,7,7.75,8.75,3.75,4.5,15.0,8,1,1159,934,309.5,Group_stage
CANADA,2,35,7,1,0,1,6,19,22,13,17.25,4.5,3.75,5.25,13.75,8,0,1498,1288,271.0,Group_stage
COSTA RICA,3,12,11,3,0,1,7,2,7,5,6.75,2.5,2.5,0.75,1.75,6,0,1022,810,408.75,Group_stage
CROATIA,8,81,7,7,1,8,28,36,47,34,16.625,5.416666666666666,5.041666666666666,4.0,13.291666666666668,8,0,4272,3724,296.83333333333337,Third_place
DENMARK,1,35,3,1,0,1,9,17,23,12,18.5,4.5,5.25,5.5,20.0,5,0,1781,1563,223.75,Group_stage
ECUADOR,4,27,3,4,0,2,12,9,17,10,11.0,4.5,2.5,5.25,5.5,3,0,1337,1107,234.5,Group_stage
ENGLAND,13,60,4,12,1,11,27,21,42,18,12.0,4.375,5.375,7.5,10.125,1,0,3052,2723,187.0,Quarter_finals
FRANCE,16,101,8,15,1,12,35,42,73,28,15.958333333333332,5.75,4.333333333333334,4.0,14.791666666666668,8,0,3656,3192,286.54166666666663,Runners_up
GERMANY,6,67,5,6,0,5,24,33,46,21,20.0,8.5,11.25,6.25,16.25,3,0,1899,1685,236.25,Group_stage
GHANA,5,25,7,5,0,4,10,12,13,12,9.75,5.5,6.5,3.5,8.5,8,0,1173,963,286.5,Group_stage
IRAN,4,35,7,3,1,2,11,14,18,17,8.5,1.75,5.0,2.75,3.75,7,0,982,735,320.5,Group_stage
JAPAN,5,42,4,4,1,4,13,16,26,16,9.833333333333332,2.5,4.166666666666666,3.333333333333333,11.0,6,0,1593,1298,467.16666666666663,Round_of_16
KOREA REPUBLIC,5,49,8,4,1,3,18,19,28,21,16.25,4.0,4.5,4.75,18.5,6,0,1866,1607,284.75,Round_of_16
MEXICO,2,42,3,1,1,1,15,15,21,21,16.0,4.5,1.5,3.75,20.25,7,0,1253,1045,235.5,Group_stage
MOROCCO,6,61,5,5,1,4,17,28,34,27,8.708333333333334,1.5,3.416666666666667,2.75,10.041666666666666,9,1,2690,2219,370.20833333333337,Fourth_place
NETHERLANDS,10,40,4,9,1,8,16,17,25,15,11.5,4.25,3.875,6.625,17.125,12,1,2804,2442,287.875,Quarter_finals
POLAND,3,31,5,3,0,1,7,14,25,6,9.0,3.0,3.25,4.25,9.75,7,0,1412,1129,338.5,Round_of_16
PORTUGAL,12,62,6,11,1,8,25,24,32,30,20.666666666666664,7.25,6.083333333333334,6.916666666666666,12.833333333333332,6,0,2977,2615,244.33333333333334,Quarter_finals
QATAR,1,21,7,1,0,1,6,14,8,13,10.5,4.75,3.75,3.5,8.0,7,0,1333,1128,302.0,Group_stage
SAUDI ARABIA,3,29,5,3,0,2,9,17,18,11,8.5,3.5,4.0,4.0,11.25,14,0,1124,881,268.0,Group_stage
SENEGAL,5,51,7,5,0,2,14,28,32,19,14.0,2.8333333333333335,2.333333333333333,4.5,12.666666666666668,7,0,1556,1276,267.16666666666663,Round_of_16
SERBIA,5,31,8,4,1,4,10,17,22,9,16.0,4.75,7.0,4.0,9.75,12,0,1392,1164,281.0,Group_stage
SPAIN,9,51,3,9,0,6,16,21,31,20,27.0,6.5,6.0,9.25,17.0,2,0,3819,3527,206.75,Round_of_16
SWITZERLAND,5,36,9,5,0,4,11,15,23,13,16.0,3.0,7.666666666666666,4.5,13.0,9,0,1900,1613,296.0,Round_of_16
TUNISIA,1,29,1,0,1,1,8,14,17,12,10.25,3.75,3.75,3.0,8.25,5,0,1216,964,297.75,Group_stage
UNITED STATES,3,46,4,3,0,3,15,19,29,17,13.0,5.0,4.0,5.333333333333334,12.166666666666668,5,0,2033,1777,272.33333333333337,Round_of_16
URUGUAY,2,32,2,2,0,1,10,17,20,12,11.5,4.5,6.25,5.0,13.5,8,0,1364,1126,283.75,Group_stage
WALES,1,24,6,1,0,0,7,10,11,13,9.75,2.0,5.0,3.75,7.75,5,1,1242,995,268.25,Group_stage
